record,uuid,date,markers,status,vtest,vpanelPartnerId,vnetMRsrc,vsampleSource,noanswerh_age_n99,hINCOME,hGENDER,hAGE,hHOUSEHOLD,hHOUSEHOLD_newr1,hHOUSEHOLD_newr2,hHOUSEHOLD_newr3,hHOUSEHOLD_newr4,hHOUSEHOLD_newr5,hHOUSEHOLD_newr6,hHOUSEHOLD_newr7,hHOUSEHOLD_newr8,hHOUSEHOLD_newr9,hSTATE,Q1r1,Q1r2,Q1r3,Q1r4,Q1r5,Q1r6,Q1r7,Q1r8,Q2,Q3,Q3r17oe,Q4,Q4r9oe,hGroup,Q5r1,Q5r2,Q5r3,Q5r4,Q5r5,Q5r6,Q5r7,Q5r8,Q6,Q7r1,Q7r2,Q7r3,Q7r4,Q7r5,Q7r6,Q7r7,Q7r8,Q7r9,Q7r10,Q7r11,Q7r12,Q8,Q9r1,Q10r1,Q11,Q12r1,Q12r2,Q12r3,Q12r4,Q12r5,Q12r6,Q12r7,Q12r8,Q12r9,Q12r10,Q12r11,Q12r12,Q12r13,Q12r14,Q12r15,Q12r16,Q12r17,Q12r16oe,Q13r1,Q13r2,Q13r3,Q13r4,Q13r5,Q13r6,Q13r7,Q13r8,Q13r9,Q13r10,Q13r11,Q13r12,Q13r13,Q13r14,Q13r15,Q13r16,Q14r1,Q14r2,Q14r3,Q14r4,Q14r5,Q14r6,Q14r7,Q14r8,Q14r9,Q14r10,Q14r11,Q14r12,Q14r13,Q14r14,Q14r15,Q15r1,Q15r2,Q15r3,Q15r4,Q15r5,Q15r6,Q15r7,Q15r8,Q15r9,Q15r10,Q15r11,Q15r12,Q15r13,Q15r14,Q15r15,Q16r1,Q16r2,Q16r3,Q16r4,Q16r5,Q16r6,Q16r7,Q16r8,Q16r9,Q16r8oe,Q17r1,Q17r2,Q17r3,Q17r4,Q17r5,Q17r6,Q17r7,Q17r8,Q17r9,Q17r10,Q17r11,Q17r12,Q17r13,Q17r14,Q17r15,Q17r16,Q17r14oe,Q18r1,Q18r2,Q18r3,Q18r4,Q19,Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9,Q20r10,Q20r11,Q20r12,Q20r13,Q20r14,Q20r17,Q20r15,Q20r16,Q20r15oe,vlist,qtime,vos,vosr15oe,vbrowser,vbrowserr15oe,vmobiledevice,vmobileos,start_date,nweightweight2,nweightweight1,nweightweight3,vdropout,ssc,source,list,url,exitURL,ipAddress,userAgent,panelPartnerId,l,countryCode,i,batchno,test,ac,sn,lang,gmid,gh,netMRsrc,sourceid,x,y,uid,sampleSource,h,r,pp,dcua,supplierID,session,rid,fedResponseID,RISN
1282,acw13ueeqf299bvn,2018-09-28 17:14:28,"20180927_11:16_v2,/overall/Total,/overall/option4,Total,qualified",3,2,,3,2,,102,1,5,,0,0,0,0,0,0,0,0,0,21,1,1,1,1,1,1,0,0,1,14,,1,,4,3,4,4,3,99,99,4,4,2,2,1,1,1,1,1,1,99,1,1,1,1,1,Just looking around,Nothing,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,4,,,,,,,,,,,,,4,1,3,1,3,1,3,1,3,3,1,3,1,1,1,3,1,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,2,,,,,,,,,,,,,,,,,,,2,569.5817912,14,,10,,3,2,2018-09-28 17:05:08,0.187453184,0.187453184,0.187453184,,3b7b15e91f4d8a90613ae238edcd6fc3,,1,,,,"Mozilla/5.0 (Linux; Android 4.2.2; K00F Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,,US,,,,4d6e6c09c8ad0437,607252,E,40118805,,,GTM,58,1,,gtm,102,21,,ta,,zrcun88s04uq633m,,,
1298,h5sve7xfr8fpdezg,2018-09-28 17:16:17,"20180927_11:16_v2,/overall/Total,/overall/option4,Total,qualified",3,2,,3,2,,105,2,5,,0,0,0,0,0,0,0,0,0,39,0,0,1,0,1,1,1,0,1,7,,6,,4,2,4,4,4,99,99,4,4,2,1,1,1,4,1,1,1,99,3,1,2,99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,3,3,2,4,2,3,2,4,3,3,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,2,,,,,,,,,,,,,,,,,,,2,234.7588062,4,,10,,5,6,2018-09-28 17:12:27,0.187453184,0.187453184,0.187453184,,b37aa9418db5ab6cdc9472daa96715d8,,1,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,,US,,,,2e1595cc3ca85bba,607252,E,18160523,,,GTM,64,2,,gtm,105,39,,..,,f7drn3t8rxhsr9mp,,,
1303,aetpxxwrdjr8zxmn,2018-09-28 17:23:32,"20180927_11:16_v2,/overall/Total,/overall/option4,Total,qualified",3,2,,3,2,,111,2,6,,0,0,0,0,0,0,0,0,0,6,1,1,1,0,1,1,0,0,1,7,,6,,4,1,3,3,3,99,99,3,3,1,99,99,99,99,99,3,99,99,3,99,3,99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,3,2,3,2,1,2,1,4,3,1,3,4,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,2,,,,,,,,,,,,,,,,,,,2,538.548172,5,,10,,5,6,2018-09-28 17:14:40,0.187453184,0.187453184,0.187453184,,069f51b66f1d07b876473a9e3e4dedf1,,1,,,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,,US,,,,01fcd4ff98dc0f95,607252,E,18350237,,,GTM,73,2,,gtm,111,6,,..,,c4w8z1vez6fxk0zp,,,
1382,bfmtn9btmk0wb79m,2018-09-28 17:51:52,"20180927_11:16_v2,/overall/Total,/overall/option4,Total,qualified",3,2,,3,2,,111,2,6,,0,0,0,0,0,0,0,0,0,51,1,0,1,1,1,1,0,0,1,7,,1,,4,2,4,4,4,1,99,4,4,2,1,1,1,2,1,1,1,99,2,1,2,1,1,To see if a certain procedure was covered,Nothing,4,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,,,4,,,,,,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,0,1,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,2,,,,,,,,,,,,,,,,,,,2,350.5350637,14,,10,,3,2,2018-09-28 17:46:11,0.187453184,0.187453184,0.187453184,,dc8f5884dadaf3d0e4d37b5167172a13,,1,,,,"Mozilla/5.0 (Linux; Android 5.1.1; KFDOWI Build/LVY48F) AppleWebKit/537.36 (KHTML, like Gecko) Silk/69.2.14 like Chrome/69.0.3497.100 Safari/537.36",,,US,,,,67b3e72c9d8feede,607252,E,24663393,,,GTM,68,2,,gtm,111,51,,ta,,hweka625wkjnb5qc,,,
1379,yhrq05gas7rfnzzj,2018-09-28 17:52:58,"20180927_11:16_v2,/overall/option2,/overall/Total,Total,qualified",3,2,,3,2,,111,2,6,,1,0,0,0,0,0,0,0,0,51,1,0,1,0,1,1,0,0,2,17,Apple Valley Dental,3,,2,1,4,4,4,99,99,3,4,2,1,1,1,3,1,2,1,1,3,1,2,1,1,Made an appointment,nothing,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4,,,,,,,,,,,,,4,3,4,2,2,3,3,4,3,4,2,4,2,2,3,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,473.3226619,4,,12,,5,6,2018-09-28 17:45:14,0.639908676,0.639908676,0.639908676,,471d955c790e381d1bb678f37f6e57a6,,1,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0,,,US,,,,dc02a601a39a9465,607252,E,22738215,,,GTM,71,2,,gtm,111,51,1,..,,etnsuewedhzymjvp,,,
1399,wme73sa6tc0ft4ap,2018-09-28 17:55:56,"20180927_11:16_v2,/overall/Total,/overall/option4,Total,qualified",3,2,,3,2,,110,2,5,,1,0,1,0,0,0,0,0,0,17,1,1,1,0,1,1,0,0,2,14,,6,,4,1,3,4,2,3,2,4,3,2,3,1,1,1,1,3,2,2,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,3,3,3,3,4,3,3,4,3,3,3,3,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,2,,,,,,,,,,,,,,,,,,,2,162.1675608,14,,10,,1,2,2018-09-28 17:53:20,0.187453184,0.187453184,0.187453184,,e3432f52e1f3fe7e354a61a60df5794e,,1,,,,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G930P Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/7.4 Chrome/59.0.3071.125 Mobile Safari/537.36",,,US,,,,ed433c8b852ac7f5,607252,E,21563585,,,GTM,55,2,,gtm,110,17,"1,3",sa,,fqqkb2yd9a2fa9a6,,,
1397,rrfdb5wkuv022b0t,2018-09-28 17:56:12,"20180927_11:16_v2,/overall/option2,/overall/Total,Total,qualified",3,2,,3,2,,114,1,6,,1,0,0,0,0,0,0,0,0,36,1,1,1,1,1,1,0,0,2,14,,3,,2,1,4,4,4,1,1,4,4,2,1,1,1,1,1,1,1,99,3,1,1,99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,230.8541648,13,,11,,5,6,2018-09-28 17:52:27,0.639908676,0.639908676,0.639908676,,4da630ad18519eba055d73fd1dddb52c,,1,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Safari/605.1.15",,,US,,,,9f29ffbfb4dde5d3,607252,E,23936190,,,GTM,70,1,,gtm,114,36,1,..,,hazhym2unrqk6fue,,,
1411,aknutzgceghbuvpr,2018-09-28 18:07:30,"20180927_11:16_v2,/overall/option2,/overall/Total,Total,qualified",3,2,,3,2,,108,1,6,,1,0,0,0,0,0,0,0,0,6,1,0,1,0,1,1,0,0,1,11,,3,,2,2,4,4,3,99,99,4,3,3,2,1,1,1,1,3,1,99,1,1,2,99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,3,4,1,3,4,3,4,4,3,1,4,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,317.5811558,13,,11,,5,6,2018-09-28 18:02:18,0.639908676,0.639908676,0.639908676,,f3a27d0632ff1a1aab351288f8bfb0ba,,1,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Safari/605.1.15",,,US,,,,228b045b7a62a743,607252,E,19854356,,,GTM,84,1,,gtm,108,6,1,..,,mbv3dt6neksr0xwc,,,
1419,b3pf656b5df30crw,2018-09-28 18:15:13,"20180927_11:16_v2,/overall/Total,/overall/option4,Total,qualified",3,2,,3,2,,112,1,3,,1,0,0,0,0,0,0,0,0,51,0,0,1,1,0,1,0,0,1,17,Anthem,5,,4,2,4,3,3,99,99,3,4,2,1,1,1,1,4,1,2,99,3,2,3,2,1,Checking benefits and payments,NA,4,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,4,3,3,3,3,3,2,1,3,4,3,3,3,4,4,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,2,,,,,,,,,,,,,,,,,,,2,645.384721,14,,10,,3,2,2018-09-28 18:04:38,0.187453184,0.187453184,0.187453184,,3d55d88c760ddc1c0c2624505f63417e,,1,,,,"Mozilla/5.0 (Linux; Android 4.4.3; KFAPWI Build/KTU84M) AppleWebKit/537.36 (KHTML, like Gecko) Silk/69.2.14 like Chrome/69.0.3497.100 Safari/537.36",,,US,,,,f7d2134049435d53,607252,E,17905451,,,GTM,44,1,,gtm,112,51,1,ta,,p0nstjg5kfq3pa2m,,,
1450,61q124rxhv79ja7a,2018-09-28 18:32:22,"20180927_11:16_v2,/overall/Total,/overall/option4,Total,qualified",3,2,,3,2,,106,2,6,,1,0,0,0,0,0,0,0,0,39,1,1,1,0,1,1,0,0,2,7,,5,,4,3,4,3,3,1,3,4,4,2,2,2,1,2,1,1,2,2,1,2,2,99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,2,1,2,3,2,3,4,2,2,4,4,3,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,2,,,,,,,,,,,,,,,,,,,2,358.9117303,13,,11,,5,6,2018-09-28 18:26:30,0.187453184,0.187453184,0.187453184,,7d2ea48f1bbab235166ae4c6018dc6bb,,1,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",,,US,,,,fff2c21b3d2526e4,607252,E,17404073,,,GTM,83,2,,gtm,106,39,1,..,,zcvmv3vdhskrbadq,,,
1485,tz2575r4qttugk3t,2018-09-28 18:46:28,"20180927_11:16_v2,/overall/Total,/overall/option4,Total,qualified",3,2,,3,2,,110,2,6,,1,0,0,0,0,0,0,0,0,55,1,1,1,1,1,1,0,0,1,12,,6,,4,3,4,4,4,2,4,4,4,2,2,1,2,2,1,1,1,99,2,2,2,1,1,looking for a dr.,it wrks very well,3,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,,,,3,,,,,3,3,,4,,,,4,3,2,3,3,3,4,4,3,4,4,3,3,4,3,1,1,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,2,,,,,,,,,,,,,,,,,,,2,272.4094715,4,,10,,5,6,2018-09-28 18:42:03,0.187453184,0.187453184,0.187453184,,46223b512335cfb9472de2923ea44182,,1,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,,US,,,,3d51d6e561c7a689,607252,E,23757365,,,GTM,69,2,,gtm,110,55,1,..,,6fzyn48hn28b6ggg,,,
1475,zmcrnwgtzwgjbdkf,2018-09-28 18:49:48,"20180927_11:16_v2,/overall/Total,/overall/option4,Total,qualified",3,2,,3,2,,102,2,5,,0,0,0,0,0,0,0,0,0,42,1,0,1,0,1,1,0,0,1,7,,5,,4,1,4,3,3,1,99,3,3,2,2,1,1,4,1,1,2,99,4,2,2,2,1,To get a copy of my id card,nothing,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,3,,,2,3,1,2,3,3,1,1,3,3,3,2,3,3,2,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,2,,,,,,,,,,,,,,,,,,,2,601.2344821,13,,12,,5,6,2018-09-28 18:39:56,0.187453184,0.187453184,0.187453184,,42f67ee8ea8b06200cda47d1ab2d6992,,1,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:48.0) Gecko/20100101 Firefox/48.0,,,US,,,,6a2c590b7b63b289,607252,E,25486886,,,GTM,55,2,,gtm,102,42,,..,,wt97k1wb63x9yu4y,,,
1490,8jyt4txf22pne23k,2018-09-28 18:51:23,"20180927_11:16_v2,/overall/option2,/overall/Total,Total,qualified",3,2,,3,2,,105,2,6,,0,0,0,0,0,0,0,0,0,13,1,1,1,0,1,1,0,0,1,12,,3,,2,1,3,3,2,99,99,2,3,3,4,1,1,4,1,4,3,99,4,4,4,99,1,I have medicare advantage thru them and I wanted to see what my plan covered,not sure,5,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,3,3,3,3,4,4,3,3,1,4,3,4,3,3,4,4,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,422.2763932,4,,3,,5,6,2018-09-28 18:44:29,0.639908676,0.639908676,0.639908676,,fd6379b48651d413e8b4cc93ae8aa2c3,,1,,,,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,,,US,,,,11ab4b79a6a31215,607252,E,27224938,,,GTM,68,2,,gtm,105,13,,..,,fqykfw96j81qc9fa,,,
1501,e2haskv3ve1ec7tf,2018-09-28 18:54:12,"20180927_11:16_v2,/overall/option2,/overall/Total,Total,qualified",3,2,,3,2,,102,2,5,,0,0,0,0,0,0,0,0,0,39,1,1,1,0,0,0,0,0,1,15,,3,,2,2,3,4,4,2,99,4,4,2,99,2,99,1,99,3,1,99,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,216.5078011,5,,10,,5,6,2018-09-28 18:50:42,0.639908676,0.639908676,0.639908676,,858d391a23845a0e8d84da7be7ac976e,,1,,,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,,US,,,,4b5621d73830cff1,607252,E,7740648,,,GTM,59,2,,gtm,102,39,,..,,0uabdf63zv5m6baq,,,
1498,ncxg6tq0q7y2rf30,2018-09-28 18:55:05,"20180927_11:16_v2,/overall/option2,/overall/Total,Total,qualified",3,2,,3,2,,106,1,6,,0,0,0,0,0,0,0,0,0,19,1,1,1,1,0,1,0,0,1,10,,3,,2,3,3,4,4,2,99,3,3,4,2,1,2,2,2,3,3,2,2,2,2,3,1,To check on what my plan covers.,Nothing,4,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,,,,,,,,,3,,3,,,,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,461.3563902,4,,2,,5,6,2018-09-28 18:47:31,0.639908676,0.639908676,0.639908676,,223ec0483e113e34162d6941196fd386,,1,,,,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",,,US,,,,31961b1653f71915,607252,E,12130975,,,GTM,65,1,,gtm,106,19,,..,,rnzg97exq00xnngv,,,
1527,cns9b9jdwh0eb5tx,2018-09-28 19:04:56,"20180927_11:16_v2,/overall/option2,/overall/Total,Total,qualified",3,2,,3,2,,104,2,6,,0,0,0,0,0,0,0,0,0,6,1,1,1,0,0,1,0,0,1,7,,3,,2,3,4,3,2,99,99,4,4,2,3,1,1,1,1,1,1,99,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,1,1,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,143.3933961,12,,11,,3,1,2018-09-28 19:02:38,0.639908676,0.639908676,0.639908676,,c13a6e4cf1af0fb80964602e1836b791,,1,,,,"Mozilla/5.0 (iPad; CPU OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",,,US,,,,34dddb24e4551ae8,607252,E,22561772,,,GTM,70,2,,gtm,104,6,,ti,,ktecmh5unyzgfk7u,,,
1518,3me4ghstrngtqp10,2018-09-28 19:42:15,"20180927_11:16_v2,/overall/option3,/overall/Total,Total,qualified",3,2,,3,2,,103,2,5,,0,0,0,0,0,0,0,0,0,21,1,1,1,0,0,1,0,0,1,11,,4,,3,2,4,3,3,99,99,3,4,2,3,2,2,3,2,3,2,99,3,2,2,99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,3,3,4,3,4,4,3,4,4,3,4,4,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,215.6528668,3,,10,,5,6,2018-09-28 18:58:36,1.220731707,1.220731707,1.220731707,,9ce8685c87a64200c3d48d8410fb2aa7,,1,,,,"Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,,US,,,,3dfe2bdf46d2124b,607252,E,31806457,,,GTM,60,2,,gtm,103,21,,..,,htcvhb022c473gv7,,,
1520,k5n6y8ee4qsengfw,2018-09-28 19:05:47,"20180927_11:16_v2,/overall/Total,/overall/option4,Total,qualified",3,2,,3,2,,110,2,6,,1,0,0,0,0,0,0,0,0,48,1,1,1,1,0,1,0,0,2,17,Manhattan,6,,4,2,3,99,99,99,99,99,99,5,2,1,99,2,2,3,3,99,2,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,3,2,3,1,2,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,2,,,,,,,,,,,,,,,,,,,2,418.4718082,4,,10,,5,6,2018-09-28 18:58:56,0.187453184,0.187453184,0.187453184,,40780df7975063850b5dbe65abc96f9d,,1,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,,US,,,,3e2a5eabadb3b90e,607252,E,18775883,,,GTM,65,2,,gtm,110,48,1,..,,tu03ra63cdm0qft6,,,
1515,cqt154xvsdku72g3,2018-09-28 19:06:18,"20180927_11:16_v2,/overall/Total,/overall/option4,Total,qualified",3,2,,3,2,,107,1,6,,1,0,0,0,0,0,0,0,0,36,0,0,1,1,1,1,0,0,2,17,Ameritas,1,,4,2,3,4,3,99,99,4,4,2,2,99,99,1,2,1,1,99,2,1,2,99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,4,4,4,2,1,3,3,4,3,4,4,4,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,regular mail offer,,,,,2,,,,,,,,,,,,,,,,,,,2,501.1567922,4,,12,,5,6,2018-09-28 18:58:03,0.187453184,0.187453184,0.187453184,,0fc42addc52a13707f0158cb20ebfb4d,,1,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0,,,US,,,,cacca37452a8cc13,607252,E,17233685,,,GTM,68,1,,gtm,107,36,1,..,,zkyg97vtqxb9pt2g,,,
1526,vhk5n6ds2z1dn3q0,2018-09-28 19:06:42,"20180927_11:16_v2,/overall/option3,/overall/Total,Total,qualified",3,2,,3,2,,102,2,5,,0,0,0,0,0,0,0,0,0,53,1,1,1,0,1,1,0,0,1,3,,4,,3,1,3,3,2,99,99,3,3,3,4,99,1,2,2,2,1,99,2,1,3,1,1,To check coverages,Nothing,4,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,3,,,,3,,4,4,3,4,2,3,2,1,4,4,3,3,3,3,3,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,262.7351556,14,,10,,3,2,2018-09-28 19:02:27,1.220731707,1.220731707,1.220731707,,0c6ab4fecba0dc1d5a26180a687d06a8,,1,,,,"Mozilla/5.0 (Linux; Android 5.1.1; KFAUWI Build/LVY48F) AppleWebKit/537.36 (KHTML, like Gecko) Silk/69.2.14 like Chrome/69.0.3497.100 Safari/537.36",,,US,,,,100a059e2783185b,607252,E,25523164,,,GTM,61,2,,gtm,102,53,,ta,,mz4gdza63t42cx6g,,,
1532,ajes6vc1rksf1p6s,2018-09-28 19:14:04,"20180927_11:16_v2,/overall/Total,/overall/option4,Total,qualified",3,2,,3,2,,106,2,6,,1,0,0,0,0,0,0,0,0,55,1,0,1,0,1,1,0,0,2,7,,1,,4,1,4,3,2,99,99,3,3,2,1,99,2,2,1,1,1,99,2,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,3,2,3,3,1,3,4,3,3,3,3,3,1,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,2,,,,,,,,,,,,,,,,,,,2,408.0256562,4,,10,,5,6,2018-09-28 19:07:21,0.187453184,0.187453184,0.187453184,,abb8c85cadeab5780ca425f7ba46c0a7,,1,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,,US,,,,8351e81da2396485,607252,E,12280548,,,GTM,70,2,,gtm,106,55,1,..,,3em293mc8rrz8s1p,,,
1543,ckvrdne408g9hze3,2018-09-28 19:14:48,"20180927_11:16_v2,/overall/option3,/overall/Total,Total,qualified",3,2,,3,2,,102,2,5,,0,0,0,0,0,0,0,0,0,27,1,1,1,0,1,1,1,0,1,7,,4,,3,2,4,3,4,1,99,3,4,2,3,1,1,3,1,2,3,99,3,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,147.4403472,3,,3,,5,6,2018-09-28 19:12:25,1.220731707,1.220731707,1.220731707,,deeb38e9b1fe63e72b234803e21112bb,,1,,,,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; ASU2JS; rv:11.0) like Gecko,,,US,,,,1127cd89dd25844e,607252,E,34013008,,,GTM,64,2,,gtm,102,27,,..,,y4d25pq24j96zj4b,,,
